Parko g. 12A, Vilnius
Pailių km, Šiaulių raj.
Dvaro g. 5, Klaipėda
Savanorių pr. 225, Kaunas
Sausių kaimas, Trakų r.
Kuncų g. 16 - 14, Klaipėda
Žemaitės g. 58, Salantai, Kretingos r.
Dvaro g.5, Klaipėda
Liepkalnio g. 97, Vilnius
Rodūnios kelias 11, Vilnius
Laisvės pr. 125, Vilnius
Savanorių pr. 151A, Vilnius
Jundeliškių k., Birštonas
Šaulių g. 13-6, Klaipėda
Stoties g. 17, Plungė
Švenčionių g. 37, Ignalina
Kalvarijų g. 130 - 13, Vilnius
Musninkų g. 18 - 55, Vilnius
Savanorių pr. 139A , Vilnius
Dambrava, Prienai
uosiu km., Vilkaviškio r.
Elektronikos g. 1, Panevėžys
Pašušvys, Radviliškio r.
P. Vileišio g. 18 - 266, Vilnius
Naujoji g. 140, Alytus
Vyžuonėlių km., Utena
Ukmergės r., Žeimių k., Vilnius
Kurmėlių km., Ukmergės r.
Kelmijos Sodų 39-oji g . 20, Vilnius
Olimpiečių g. 1 - 14, Vilnius
Kalvarijų g. 204A, Vilnius
S. Žukausko g. 25 - 27, Vilnius
Kalvarijos g. 38, Kaunas
Kauno g. 53, Elektrėnų r.
Linksmoji g. 47 - 57, Vilnius
Kauno g. 32, Vilnius
Savanorių pr. 176-206, Vilnius
Šviesos g. 5-57, Vilnius
J.Grušo g. 4 - 36, Kaunas
Kruojos 3, Šniūraičių k., Radviliškio r.
Švyturio g 5, Plikių mstl., Klaipėdos r.
Pramonės g. 16 D, Alytus
Venslaviškio g. 13, Panevėžys
Karlų km., Visaginas
Turgaus 9-2, Molėtai
Pramonės g 16D, Alytus
Linksmakalnis, Liepų g., Kauno r.
Raudondvario pl. 157-301, Kaunas
Drūkšiniai, Visaginas
Pikutiškių k,Avižienių sen., Vilniaus r.
Smolensko g. 6-320, Vilnius
Daukniūnai, Panevėžio r.
Radvilų Dvaro g. 6, Kaunas
V.Grybo g. 41-2, Vilnius
Islandijos pl. 197, Kaunas
Paryžiaus Komunos g. 25, Klaipėda
Bubliškių km., Pagėgiai
Pramonės g. 9, Šiauliai
Savanorių pr. 124, Vilnius
Lentvario g. 3, Vilnius
Eglyno g. 9, Panevėžys
Birutės g. 1, Klaipėda
Naujojo Ryto takas 3, Šiauliai
Gerosios Vilties g. 17A, Vilnius
Žeimenos g. 8A, Kaunas
Agaro g. 5, Biržai
Tiekėjų g. 7A, Kretinga
Mokyklos g. 1B, Vilnius
Sietyno g. 1, Panevėžys
V.A. Graičiūno g. 34, Vilnius
R. Kalantos g. 13, Kaunas
Birželio 23-iosios g. 27 B, Kaunas
Raudondvario pl. 174 B, Kaunas
Dubysos g. 60A, Klaipėda
Sudervės kelias 3,Šeškinėje, Vilnius
Savanorių pr. 151A, Vilnius
Liepų g. 73A, Klaipėda
Dūmų g. 3, Vilnius
Tilžės g. 49, Klaipėda
Lakūnų g. 30, Vilnius
Kepyklos g. 17, Alytus
J.Kazlausko g. 1, Vilnius
J. Vienožinskio g. 58, Kaunas
Linų g. 71, Ukmergė
Upės g. 5, Vilnius
Savanoriu pr. 339a, Kaunas
Butkų Juzės g. 11, Klaipėda
Kirtimų g. 2, Vilnius
Smėlynės 112, Panevėžys
Žirnių g. 26, Vilnius
Mokyklos g. 1B, Vilniaus r.
Linkmenų g. 38, Vilnius
Smalinės g. 23, Vilnius
Pravieniškių II k., Kaišiadorių r.
Draugystės g. 19, Kaunas
Uosio g. 10, Kaunas
Savanorių pr. 271, Kaunas
Radvilėnų pl. 8, Kaunas
Naujadvario g. 11C, Kaunas
Siūlų g. 3, Kaunas
J. Žemgulio g. 46., Panevėžys
Gariūnų g.49, Vilnius 
Sėlių g. 48 - 1, Vilnius
Taikos pr. 141, Kaunas
Šilutės pl. 27, Klaipėda
Centrinė g. 2a, Kauno r.
Mokyklos g. 1B, Vilniaus r.
Vytauto pr. 19 - 18, Kaunas
Linkmenų g. 13, Vilnius
Rodūnios kelias 34, Vilnius
Linksmakalnis, Liepų g. , Kauno r.
Metalo g. 10, Vilnius
Draugystės g. 17, Kaunas
Ukmergės g. 315c, Vilnius
Draugystės g. 19, Kaunas
Gelvonų g. 2, Vilnius
Kirtimų g. 43, Vilnius
Islandijos pl. 179a, Kaunas
Zarasų g. 5, Vilnius
Sabališkių g. 1A, Elektrėnai
Savanorių pr. 187, Vilnius
Krokuvos g. 8, Vilnius
Butrimonių g. 5, Kaunas
Kauno g. 51, Ukmergė
Tvirtovės al. 27, Kaunas
Žirnių g. 12, Vilnius
Gedimino g. 55, Kaišiadorys
Laisvės pr. 125a, Vilnius
Ukmergės g. 294, Vilnius
Žalgirio g. 119, Vilnius
Baltijos g. 90a, Kaunas
Žalgirio g. 88, Vilnius
Dariaus ir Girėno g. 20, Vilnius
Oslog g. 1, Vilnius
J.Kubiliaus g.18, Vilnius
Islandijos pl. 97-187, Kaunas
Raudondvario pl. 101, Kaunas
Lakūnų g. 8, Vilnius
Draugystės g. 9G, Kaunas
Žalgirio g. 90, Vilnius
Paribio g. 53a, Vilnius
Linksmoji g. 5, Vilnius 
Savanorių pr. 174A, Vilnius
Verkių g. 30b, Vilnius
Stumbrų g. 15, Vilnius
Savanorių pr. 79, Kaunas
Kalvarijų g. 125, 1korp., Vilnius
Verkių g. 32A, Vilnius
Vilkpėdės g. 8, Vilnius
Europos pr. 67, Kaunas
Ukmergės g. 425, Vilnius
Kalvarijų g. 53, Vilnius
Savanorių pr. 339c, Kaunas
R. Kalantos g. 49, Kaunas
A. Juozapavičiaus pr. 34, Kaunas 
Islandijos pl. 115, Kaunas, Kaunas
Piliakalnio g. 15, Vilnius
V. Krėvės pr. 97, Kaunas
Pakalnės g. 4, Vilnius
Dusios g. 7 , Kaunas
Veiverių g. 63, Kaunas
Technikos g. 4a, Kaunas
J. Kubiliaus g. 18, Vilnius
Ukmergės g. 315C, Vilnius
Karkiškių km., Kaunas
Raudondvario pl. 166, Kaunas
Lvovo g. 105, Vilnius
Geologų g. 6, Vilnius
Kuršių g. 9a-15, Kaunas
Kareivių g. 7, Vilnius
P. Lukšio g. 7, Vilnius
Draugystės g. 17, Kaunas
Pakraščio g. 10, Vilnius
Naugarduko g. 72, Vilnius
Gaižiūnų g. 5A, Kaunas 
Kubiliaus g. 23, Vilnius
Šiltnamių g. 28, Vilnius
Islandijos pl. 213e, Kaunas
Partizanų g. 21c, Kaunas
Tautos g. 11, Garliava, Kauno r.
Savanorių pr. 178A, Vilnius
Buivydiškių g. 12A, Vilnius
49223 Garažo koop. 157, Ašigalio g. 28, garažas 9, Kaunas
Gelvonų g. 2, Vilnius
Vilnius
Elektrinės g. 3, Vilnius
Panerių g. 56, Kaunas
Gaižiūnų g. 5, Kaunas 
Taikos pr. 103A, Kaunas
